region_id,region_name,region_id_en,region_name_en,region_raw_source,year,women_farms,credit_kaf,credit_acc,credit_fund,credit_total,land_share,log_women_farms,log_credit_total,lag1_log_women_farms,lag1_log_credit_total,log_credit_kaf,lag1_log_credit_kaf,log_credit_acc,lag1_log_credit_acc,log_credit_fund,lag1_log_credit_fund,year_fe
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2016,10487,290.3,912.7,1825.4,3028.4,5.48,9.257987025443535,8.016119859092925,9.293669979563187,6.935953933340816,5.674353663965389,4.918520005188451,6.817502290004575,6.142252436230051,7.5101020952155855,6.0607573736039315,2016
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2017,11669,100.8,945.0,1746.0,2791.8,1.96,9.3647767252806,7.934799955790826,9.257987025443535,8.016119859092925,4.623010104116422,5.674353663965389,6.852242569051878,6.817502290004575,7.465655310134056,7.5101020952155855,2017
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2018,11979,1830.6,14405.3,2811.0,19046.9,2.08,9.39099387166944,9.854712138257916,9.3647767252806,7.934799955790826,7.51294518078294,4.623010104116422,9.575420889888871,6.852242569051878,7.941651252930556,7.465655310134056,2018
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2019,18458,2223.0,4078.0,2379.1,8680.1,2.08,9.8233073354086,9.068903527735666,9.39099387166944,9.854712138257916,7.707062655370473,7.51294518078294,8.313607139317558,9.575420889888871,7.774897782589561,7.941651252930556,2019
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2020,12583,2423.2,527.0,1904.5,4854.7,3.12,9.440181444738114,8.487908551588744,9.8233073354086,9.068903527735666,7.793256852036412,7.707062655370473,6.269096283706261,8.313607139317558,7.552499720313915,7.774897782589561,2020
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2021,12470,835.0,5987.0,2301.0,9123.0,3.16,9.431161227920748,9.118663583404278,9.440181444738114,8.487908551588744,6.728628613084702,7.793256852036412,8.69751274553952,6.269096283706261,7.741533589281828,7.552499720313915,2021
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2022,7889,310.0,4942.3,,5252.3,2.48,8.97335141383992,8.566611729545965,9.431161227920748,9.118663583404278,5.739792912179234,6.728628613084702,8.505788403352799,8.69751274553952,,7.741533589281828,2022
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2023,8692,645.0,3534.0,,4179.0,2.1,9.070273383079064,8.338066525518801,8.97335141383992,8.566611729545965,6.470799503782602,5.739792912179234,8.170468578330674,8.505788403352799,,,2023
Алматинская,Алматинская,almaty_region,Almaty Region,Алматинская,2024,8548,636.0,2800.0,,3436.0,5.38,9.053569596026234,8.142354276849833,9.070273383079064,8.338066525518801,6.456769655572163,6.470799503782602,7.937731775260109,8.170468578330674,,,2024
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2015,393,44.9,110.8,655.6,811.3,1.82,5.976350909297934,6.699869730056908,,,3.8264651170664994,,4.716711560720999,,6.487075005067492,,2015
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2016,428,175.0,291.3,855.6,1321.9,1.78,6.061456918928017,7.187581575468334,5.976350909297934,6.699869730056908,5.170483995038151,3.8264651170664994,5.6777806721172,4.716711560720999,6.752971065181271,6.487075005067492,2016
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2017,475,24.0,1600.9,602.0,2226.9,1.51,6.16541785423142,7.708814716736478,6.061456918928017,7.187581575468334,3.2188758248682006,5.170483995038151,7.378945703707438,5.6777806721172,6.401917196727186,6.752971065181271,2017
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2018,562,28.1,172.7,644.5,845.3,1.76,6.333279628139691,6.74087390667606,6.16541785423142,7.708814716736478,3.370738174177447,3.2188758248682006,5.157329673247059,7.378945703707438,6.470025210286697,6.401917196727186,2018
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2019,780,122.0,348.6,1146.6,1617.2,2.36,6.660575149839686,7.389069699373739,6.333279628139691,6.74087390667606,4.812184355372417,3.370738174177447,5.85678964378138,5.157329673247059,7.045428084107209,6.470025210286697,2019
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2020,751,37.2,455.4,1146.9,1639.5,0.81,6.62273632394984,7.402756352401156,6.660575149839686,7.389069699373739,3.6428355156125294,4.812184355372417,6.123369617987921,5.85678964378138,7.045689465071451,7.045428084107209,2020
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2021,811,33.0,636.0,792.0,1461.0,0.81,6.699500340161678,7.287560640309724,6.62273632394984,7.402756352401156,3.5263605246161616,3.6428355156125294,6.456769655572163,6.123369617987921,6.675823221634848,7.045689465071451,2021
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2022,941,41.0,1154.2,,1195.2,0.77,6.848005274576363,7.086905144610457,6.699500340161678,7.287560640309724,3.7376696182833684,3.5263605246161616,7.052028768138562,6.456769655572163,,6.675823221634848,2022
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2023,1132,106.0,1689.0,,1795.0,0.77,7.032624261028007,7.493317248862144,6.848005274576363,7.086905144610457,4.672828834461906,3.7376696182833684,7.432483807917119,7.052028768138562,,,2023
Атырауская,Атырауская,atyrau,Atyrau,Атырауская,2024,1126,150.0,934.0,,1084.0,0.76,7.027314514039776,6.989335265974559,7.032624261028007,7.493317248862144,5.017279836814924,4.672828834461906,6.840546529288687,7.432483807917119,,,2024
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2015,3036,171.4,955.9,584.8,1712.1,5.18,8.018625465045748,7.446059873736412,,,5.149817358229593,,6.863698892785217,,6.372978434393633,,2015
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2016,2968,233.9,406.7,1955.3,2595.9,4.88,7.995980474763759,7.862073704952949,8.018625465045748,7.446059873736412,5.459159891664867,5.149817358229593,6.0105316098252075,6.863698892785217,7.578810213067266,6.372978434393633,2016
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2017,2816,353.3,,719.0,1072.3,4.88,7.943427767876372,6.978493293487478,7.995980474763759,7.862073704952949,5.870144011871426,5.459159891664867,,6.0105316098252075,6.579251212010101,7.578810213067266,2017
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2018,3242,365.1,1188.8,1259.8,2813.7,4.93,8.084254106307318,7.942610962958542,7.943427767876372,6.978493293487478,5.902906520126191,5.870144011871426,7.081540504753805,,7.139501719103615,6.579251212010101,2018
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2019,4792,1183.0,,1101.5,2284.5,4.98,8.474911799159631,7.734340097771799,8.084254106307318,7.942610962958542,7.076653815443951,5.902906520126191,,7.081540504753805,7.005335607321001,7.139501719103615,2019
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2020,3859,570.3,1834.3,1328.6,3733.2,3.71,8.258422462458876,8.225288884531235,8.474911799159631,7.734340097771799,6.347914465730417,7.076653815443951,7.514963234864426,,7.192633424101183,7.005335607321001,2020
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2021,4347,836.0,1201.0,2119.0,4156.0,3.31,8.3774712482411,8.332548939252638,8.258422462458876,8.225288884531235,6.729824070489475,6.347914465730417,7.091742115095153,7.514963234864426,7.659171367666058,7.192633424101183,2021
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2022,2292,382.0,1437.3,,1819.3,3.26,7.737616282857904,7.506756601651853,8.3774712482411,8.332548939252638,5.948034989180646,6.729824070489475,7.271217139609844,7.091742115095153,,7.659171367666058,2022
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2023,2535,1309.0,2215.0,,3524.0,0.51,7.838343315557116,8.16763571524637,7.737616282857904,7.506756601651853,7.177782416195197,5.948034989180646,7.703459047867175,7.271217139609844,,,2023
Восточно_Казахстанская,Восточно Казахстанская,east_kazakhstan,East Kazakhstan,Восточно-Казахстанская,2024,2550,1201.0,3560.0,,4761.0,3.38,7.844240718141811,8.468423027046807,7.838343315557116,8.16763571524637,7.091742115095153,7.177782416195197,8.177796683277778,7.703459047867175,,,2024
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2015,3260,298.7,174.8,453.0,926.5,1.61,8.089789175789319,6.83249279448159,,,5.702781974322617,,5.169346985251076,,6.118097198041348,,2015
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2016,3368,576.3,819.6,1116.3,2512.2,0.73,8.122371243406553,7.829312120528791,8.089789175789319,6.83249279448159,6.358362062066888,5.702781974322617,6.710035780008086,5.169346985251076,7.018670339553292,6.118097198041348,2016
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2017,3604,14.9,256.0,1989.0,2259.9,1.19,8.190077049719049,7.72351824308227,8.122371243406553,7.829312120528791,2.766319109226186,6.358362062066888,5.54907608489522,6.710035780008086,7.595889917718538,7.018670339553292,2017
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2018,3830,144.0,616.6,1620.5,2381.1,1.19,8.25088114470065,7.775737730562173,8.190077049719049,7.72351824308227,4.976733742420574,2.766319109226186,6.425840998710567,5.54907608489522,7.391106925747373,7.595889917718538,2018
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2019,5512,706.0,1379.7,2018.3,4104.0,1.19,8.614864218589684,8.31996102188653,8.25088114470065,7.775737730562173,6.561030665896573,4.976733742420574,7.230345895922107,6.425840998710567,7.610506195684777,7.391106925747373,2019
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2020,4389,544.5,1425.4,1898.3,3868.2,1.19,8.387084506069217,8.260803046308391,8.614864218589684,8.31996102188653,6.301702805273125,6.561030665896573,7.26290906654893,7.230345895922107,7.549240676218191,7.610506195684777,2020
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2021,4441,375.0,1810.0,2152.0,4337.0,1.2,8.398860004454372,8.37516869138682,8.387084506069217,8.260803046308391,5.929589143389895,6.301702805273125,7.501634457883413,7.26290906654893,7.674617497364363,7.549240676218191,2021
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2022,6380,578.0,3315.3,,3893.3,1.11,8.761080103868347,8.267269224567059,8.398860004454372,8.37516869138682,6.361302477572996,5.929589143389895,8.106604982609303,7.501634457883413,,7.674617497364363,2022
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2023,9420,697.0,5094.0,,5791.0,1.11,9.150696519048669,8.664232934065552,8.761080103868347,8.267269224567059,6.548219102762372,6.361302477572996,8.536014945656826,8.106604982609303,,,2023
Жамбылская,Жамбылская,zhambyl,Zhambyl,Жамбылская,2024,8953,1386.0,8266.0,,9652.0,1.12,9.09985563880091,9.175024026848616,9.150696519048669,8.664232934065552,7.234898420314831,6.548219102762372,9.020026965252676,8.536014945656826,,,2024
Жетісу,Жетісу,jetisu,Jetisu,Жетісу,2022,5085,428.0,3101.8,,3529.8,4.22,8.534246945982064,8.169279753146078,,,6.061456918928017,,8.040060208616717,,,,2022
